,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LTR19_12q23.3,4.06224161994558,2.27063931439256,0.581819275344613,3.9026539865797,9.51436696824128e-05,0.00751221322362007
HERVH_Yp11.2b,1.83267807543296,4.01700063725126,1.03626064394295,3.87643848169961,0.000105996593604392,0.00802040891606563
HUERSP3_11q13.4,76.2551093109899,-0.844322222636094,0.219623946106598,-3.84439965497337,0.000120847921219301,0.00877839299737005
HERVH_3p21.31f,9.3777720408475,-1.89431140763458,0.497705707273375,-3.80608737242004,0.000141182524913778,0.00986105635551615
HML1_3q21.3,32.1697634893684,0.794324978129876,0.210702568670027,3.76988749185037,0.000163321155254794,0.0109848599238039
HERVE_12q24.32,16.9535651805541,1.83532388966373,0.490114737591617,3.74468210991238,0.000180622325147701,0.0117146479452937
HERVH_6q22.31a,2.77981131846774,3.22325102515984,0.866548677019625,3.71964219741904,0.0001995052023439,0.0124931533605697
LTR57_14q22.1,9.00125957478022,-1.56425357359669,0.423828734483291,-3.69076810118537,0.000223577899565885,0.0135339155203882
HERVH_6q22.31e,25.0282868344822,-1.83958759040851,0.50334181491816,-3.65474819672515,0.000257434515432681,0.0150806800008306
HERVH48_Xp11.21,104.213932767418,0.901078595802202,0.248873508234703,3.62062881740081,0.000293887884036911,0.0166781374190947
ERVLB4_2q11.1a,139.907034745113,1.02011836104316,0.28330430634268,3.60078663897625,0.000317255850436198,0.0173275392771191
ERV316A3_10q22.1a,1.5107726931062,-3.42191745217505,0.951859470451355,-3.59498177872038,0.000324414281620072,0.0173275392771191
MER101_5q35.2e,43.7841427220058,-1.88703602900946,0.527471832162403,-3.57751052084326,0.000346882261434516,0.0179982339075738
HERVL_3q21.2,48.1402805863036,-1.23187611643606,0.348216202651413,-3.53767603878344,0.000403664999502751,0.0203626566415832
HERVH_4q22.1j,22.1269180042227,1.48447673716997,0.420932760372884,3.52663626336648,0.000420874530592458,0.0206569769609704
HML6_3p21.31b,13.2406490933665,-3.06234505359649,0.874691115315063,-3.50105883091477,0.000463413531702579,0.0221462887782075
ERVLB4_12q13.12a,13.6402905677513,1.37081922802182,0.392401791423688,3.49340716067656,0.000476898774556676,0.0222063634511519
HERVL_2p12d,7.77103944180047,-2.33179646444154,0.670131044495226,-3.47961265724968,0.000502139200469524,0.0227971197013164
ERVLB4_2q13c,63.5197335944935,2.52628475078082,0.732006821982209,3.45117651218041,0.00055814840454412,0.0247218903085884
ERV316A3_6p25.2c,25.9713493753736,-1.63671451037789,0.475206317731917,-3.44421875153022,0.000572712132954981,0.0247629817487201
MER41_22q12.3e,62.4710004186155,0.72052766777065,0.210768754552387,3.41856965137384,0.000629512037754485,0.0248520404470031
HERVH_7p21.3c,9.88742437454496,-2.52634878179269,0.73555976152365,-3.43459350815978,0.000593443287767261,0.0248520404470031
LTR19_1p12,18.3432123509695,1.33532426762943,0.390104439590281,3.42299172250359,0.000619359633401125,0.0248520404470031
HERVK11_8p23.1b,10.9105265544918,-6.96604692863085,2.03439761709748,-3.42413246559415,0.00061676549176564,0.0248520404470031
HUERSP2_11p12a,1.99477611901867,2.95410758799274,0.868125514105479,3.40285769741103,0.000666850024920855,0.0257659498990696
ERVLB4_17q22c,151.15694534105,-1.05132821832978,0.309978465650836,-3.39161695030135,0.000694815032973049,0.0260136974490431
MER61_1p34.1b,35.6521954560875,0.925920295638306,0.273227014153257,3.38883143933544,0.000701911439979686,0.0260136974490431
